batsman,total_runs,average,strike_rate
SK Raina,4548,28.96815287,117.8550318
V Kohli,4423,31.36879433,112.8057447
RG Sharma,4207,27.49673203,111.4957516
G Gambhir,4132,28.30136986,104.2880137
DA Warner,4014,35.21052632,117.9827193
RV Uthappa,3778,26.41958042,115.3137063
CH Gayle,3651,36.51,124.9227
S Dhawan,3561,28.26190476,106.9115873
MS Dhoni,3560,24.8951049,123.9853147
AB de Villiers,3486,29.54237288,127.9271186
AM Rahane,3057,29.11428571,97.73371429
YK Pathan,2922,21.96992481,123.1417293
KD Karthik,2903,21.6641791,109.23
BB McCullum,2755,26.74757282,110.5109709
V Sehwag,2728,26.23076923,128.6843269
SR Watson,2628,26.81632653,117.0538776
Yuvraj Singh,2591,22.3362069,112.0265517
M Vijay,2511,25.36363636,101.7154545
SE Marsh,2489,36.07246377,114.14
JH Kallis,2427,25.54736842,89.69989474
AT Rayudu,2416,23.00952381,113.4174286
DR Smith,2385,27.10227273,113.5805682
KA Pollard,2354,21.01785714,128.8209821
SR Tendulkar,2334,29.92307692,101.1466667
PA Patel,2322,20.01724138,93.03939655
MK Pandey,2223,23.4,100.0805263
R Dravid,2174,26.51219512,102.5509756
AC Gilchrist,2069,25.8625,114.254125
JP Duminy,1993,27.30136986,117.3220548
MEK Hussey,1977,34.0862069,101.4724138
DPMD Jayawardene,1808,23.17948718,108.6692308
RA Jadeja,1732,16.03703704,118.697037
SPD Smith,1713,27.62903226,127.078871
KC Sangakkara,1687,24.80882353,106.7791176
MK Tiwary,1648,20.86075949,110.1053165
AJ Finch,1604,25.0625,111.1342188
DA Miller,1563,24.421875,123.2467188
WP Saha,1557,19.96153846,119.9384615
NV Ojha,1553,16.69892473,105.492043
S Badrinath,1441,22.16923077,109.4164615
SV Samson,1426,23,104.8483871
BJ Hodge,1400,22.22222222,103.7842857
SC Ganguly,1349,24.08928571,84.49142857
DJ Hussey,1322,21.67213115,105.1606557
F du Plessis,1295,28.15217391,110.9923913
SS Tiwary,1276,19.9375,106.8710938
DJ Bravo,1262,15.58024691,130.4167901
GJ Maxwell,1229,22.34545455,116.7352727
KK Nair,1158,23.16,111.279
TM Dilshan,1153,23.06,92.7206
IK Pathan,1150,14.02439024,117.829878
Mandeep Singh,1112,19.17241379,97.03465517
ML Hayden,1107,34.59375,115.593125
LMP Simmons,1079,37.20689655,100.7524138
LRPL Taylor,1017,18.83333333,111.3514815
KP Pietersen,1001,27.80555556,112.2486111
Y Venugopal Rao,985,18.94230769,105.2467308
JA Morkel,975,14.55223881,132.7840299
